City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Dong Hoi,VN,17.4833,106.6,90.28,57,63,5.37,broken clouds
255,Beipiao,CN,41.7919,120.7792,70.38,89,100,4.18,light rain
256,Caceres,ES,39.522,-6.3748,67.93,46,0,5.14,clear sky
257,Rocha,UY,-34.4833,-54.3333,64.53,95,100,9.4,moderate rain
258,Broome,US,42.2506,-75.833,73.65,85,83,3.74,broken clouds
259,Ulladulla,AU,-35.35,150.4667,61.97,50,17,5.84,few clouds
260,Yei,SS,4.095,30.6779,65.88,98,93,0.78,overcast clouds
261,Skegness,GB,53.1436,0.3363,60.06,74,100,9.73,overcast clouds
262,Kurchum,KZ,48.5722,83.6542,80.47,28,57,1.01,broken clouds
263,Washougal,US,45.5826,-122.3534,95.47,43,0,8.05,clear sky
264,Rancho Palos Verdes,US,33.7445,-118.387,79.41,84,40,21.85,scattered clouds
265,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,34,8.7,light rain
266,Singapore,SG,1.2897,103.8501,86.2,74,40,11.5,scattered clouds
267,Oktyabrskiy,RU,54.4815,53.471,64.2,81,61,5.68,broken clouds
268,Severo-Zadonsk,RU,54.0348,38.4017,67.73,82,4,4.54,clear sky
269,Leningradskiy,RU,69.3833,178.4167,39.42,79,94,7.52,overcast clouds
270,Arcos De La Frontera,ES,36.7508,-5.8106,72.27,80,0,5.01,clear sky
271,Owando,CG,-0.4819,15.8999,71.38,74,100,1.16,overcast clouds
272,Povenets,RU,62.8487,34.8262,60.62,84,100,5.19,overcast clouds
273,Laurel,US,39.0993,-76.8483,82.44,87,40,4.61,scattered clouds
274,Viransehir,TR,37.2353,39.7631,83.97,17,0,4.63,clear sky
275,Evensk,RU,61.95,159.2333,58.87,54,72,5.23,broken clouds
276,Svetlogorsk,BY,52.6333,29.7333,53.83,96,93,6.06,overcast clouds
277,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.84,33,0,4.34,clear sky
278,Korla,CN,41.7597,86.1469,93.29,13,0,8.16,clear sky
279,Chaves,US,33.3834,-104.4505,82.81,51,75,11.5,broken clouds
280,Pangoa,PE,-12.1167,-73.0,70.97,78,85,2.53,overcast clouds
281,Verkhnevilyuysk,RU,63.4453,120.3167,84.94,43,44,6.58,scattered clouds
282,Camocim,BR,-2.9022,-40.8411,77.07,78,66,9.4,broken clouds
