City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Periyapatti,IN,78.01,broken clouds,10.75,77.2667,Parking
327,Balkhash,KZ,81.21,clear sky,46.844,74.9804,Family
329,Hithadhoo,MV,82.42,overcast clouds,-0.6,73.0833,Scoop Guest House
330,Sai Buri,TH,81.97,scattered clouds,6.7013,101.6168,สวนป่ารีสอร์ท
333,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
334,Guerrero Negro,MX,68.79,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
335,Bull Savanna,JM,76.35,broken clouds,17.8868,-77.5902,Big Red's
336,Maple Creek,CA,77.05,clear sky,49.9168,-109.4848,Willowbend Campground & Cabins
337,Onguday,RU,68.56,clear sky,50.75,86.15,Barskaya Usad'ba
338,Kimbe,PG,90.5,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
340,Pafos,CY,74.98,clear sky,34.7667,32.4167,Elysium Hotel
341,Amga,RU,87.37,clear sky,60.8953,131.9608,Algys
342,Banepa,NP,68.32,overcast clouds,27.6298,85.5214,Dhulikhel Lodge Resort
343,Michigan City,US,72.12,broken clouds,41.7075,-86.895,Microtel Inn & Suites by Wyndham Michigan City
345,Archidona,ES,73.67,clear sky,37.0965,-4.3887,Hotel Escua
346,Price,US,72.66,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
347,Najran,SA,79.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
348,Fengrun,CN,71.89,light rain,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
349,Sandakan,MY,87.48,few clouds,5.8402,118.1179,Hotel Sandakan
355,Pacific Grove,US,68.54,clear sky,36.6177,-121.9166,Lovers Point Inn
356,Mumford,GH,74.71,broken clouds,5.2618,-0.759,Spanish Villa
359,Saint-Louis,SN,80.89,broken clouds,16.3333,-15.0,
360,Aquiraz,BR,78.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
362,Southbridge,US,72.66,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
366,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
369,Neryungri,RU,80.42,overcast clouds,56.6709,124.6491,Pyat' Zvozd
370,Fort Nelson,CA,80.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
371,Dingle,PH,87.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
373,Tessalit,ML,93.85,broken clouds,20.1986,1.0114,
374,Dusti,TJ,93.65,clear sky,37.3481,68.664,Hotel Izzat
375,San Patricio,US,85.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
376,Coahuayana,MX,78.4,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
377,Newcastle,AU,66.09,few clouds,-32.9272,151.7765,NOAH'S on the beach
381,Kosonsoy,UZ,75.76,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
386,Salta,AR,72.57,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
387,Bogale,MM,86.9,broken clouds,16.2833,95.4,Aung Pin Lel Guest House
390,Mbaiki,CF,69.55,overcast clouds,3.8678,17.9892,Motel MBM
391,Sadiqabad,PK,86.9,overcast clouds,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
392,Changli,CN,75.34,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
395,Boshan,CN,78.1,overcast clouds,36.4833,117.8333,Tianfu Hotel
397,Quesnel,CA,93.7,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
399,Chumikan,RU,67.89,clear sky,54.7183,135.315,Fortuna
400,Progreso,MX,75.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
401,Kamenka,RU,70.65,overcast clouds,51.3223,42.7678,
402,Tefe,BR,75.76,broken clouds,-3.3542,-64.7114,Aracati Hotel
405,Iracoubo,GF,76.53,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
406,Vao,NC,69.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
407,Taseyevo,RU,65.17,overcast clouds,57.2169,94.8978,Gostinitsa Taseyevo
408,Qui Nhon,VN,86.97,clear sky,13.7667,109.2333,Seagull Hotel
